name,nametype,class,mass (g),discovery,year
Mount Tazerzait,Valid,L5,110000.0,Fell,1991.0
Muddoor,Valid,L5,4400.0,Fell,1865.0
Muraid,Valid,L6,4703.0,Fell,1924.0
Nagai,Valid,L6,1810.0,Fell,1922.0
Nagy-Borov,Valid,L5,6100.0,Fell,1895.0
Nakhon Pathom,Valid,L6,23200.0,Fell,1923.0
Nan Yang Pao,Valid,L6,52900.0,Fell,1917.0
Narellan,Valid,L6,367.5,Fell,1928.0
Neagari,Valid,L6,420.0,Fell,1995.0
Nejo,Valid,L6,2450.0,Fell,1970.0
Nerft,Valid,L6,10250.0,Fell,1864.0
New Concord,Valid,L6,230000.0,Fell,1860.0
New Halfa,Valid,L4,12000.0,Fell,1994.0
Niger (L6),Valid,L6,3.3,Fell,1967.0
Nikolskoe,Valid,L4,6000.0,Fell,1954.0
Nogata,Valid,L6,472.0,Fell,860.0
Noyan-Bogdo,Valid,L6,250.0,Fell,1933.0
Oesel,Valid,L6,6000.0,Fell,1855.0
Ofehrt,Valid,L6,3750.0,Fell,1900.0
Ohuma,Valid,L5,7700.0,Fell,1963.0
Ojuelos Altos,Valid,L6,5850.0,Fell,1926.0
Oldenburg (1930),Valid,L6,16570.0,Fell,1930.0
Otery,Valid,L6,246.0,Fell,1928.0
Ouadangou,Valid,L5,4440.0,Fell,2003.0
Ovambo,Valid,L6,121.5,Fell,1900.0
Pacula,Valid,L6,3400.0,Fell,1881.0
Palca de Aparzo,Valid,L5,1430.0,Fell,1988.0
Palmyra,Valid,L3,135.0,Fell,1926.0
Dominion Range 03239,Valid,L6,69.5,Found,2002.0
Pampanga,Valid,L5,10500.0,Fell,1859.0
Paranaiba,Valid,L6,100000.0,Fell,1956.0
Park Forest,Valid,L5,18000.0,Fell,2003.0
Patrimonio,Valid,L6,2121.0,Fell,1950.0
Pavlograd,Valid,L6,40000.0,Fell,1826.0
Peace River,Valid,L6,45760.0,Fell,1963.0
Perpeti,Valid,L6,23474.0,Fell,1935.0
Pervomaisky,Valid,L6,66000.0,Fell,1933.0
Phillips County (stone),Valid,L6,57900.0,Fell,1901.0
Phuoc-Binh,Valid,L5,11000.0,Fell,1941.0
Pirgunje,Valid,L6,842.0,Fell,1882.0
Plecoi,Valid,L5-6,6913.0,Fell,2008.0
Ploschkovitz,Valid,L5,39.0,Fell,1723.0
Pnompehn,Valid,L6,96.0,Fell,1868.0
Pohlitz,Valid,L5,3000.0,Fell,1819.0
Prambachkirchen,Valid,L6,2125.0,Fell,1932.0
Pricetown,Valid,L6,900.0,Fell,1893.0
Putinga,Valid,L6,300000.0,Fell,1937.0
Quincay,Valid,L6,65.0,Fell,1851.0
Rahimyar Khan,Valid,L5,67225.0,Fell,1983.0
Rakovka,Valid,L6,9000.0,Fell,1878.0
Ramnagar,Valid,L6,3766.0,Fell,1940.0
Ramsdorf,Valid,L6,4682.0,Fell,1958.0
Rangala,Valid,L6,3224.5,Fell,1937.0
Raoyang,Valid,L6,4910.0,Fell,1919.0
Reliegos,Valid,L5,17300.0,Fell,1947.0
Renca,Valid,L5,300.0,Fell,1925.0
Renqiu,Valid,L6,355.0,Fell,1916.0
Rewari,Valid,L6,3332.0,Fell,1929.0
Rich Mountain,Valid,L6,668.0,Fell,1903.0
Rio Negro,Valid,L4,1310.0,Fell,1934.0
Ruhobobo,Valid,L6,465.5,Fell,1976.0
Rupota,Valid,L4-6,6000.0,Fell,1949.0
Ryechki,Valid,L5,13000.0,Fell,1914.0
Salem,Valid,L6,61.4,Fell,1981.0
Salles,Valid,L5,9000.0,Fell,1798.0
San Michele,Valid,L6,237.0,Fell,2002.0
San Pedro de Quiles,Valid,L6,282.0,Fell,1956.0
Santa Barbara,Valid,L4,400.0,Fell,1873.0
Santa Isabel,Valid,L6,5500.0,Fell,1924.0
Santa Lucia (2008),Valid,L6,4000.0,Fell,2008.0
Saratov,Valid,L4,200000.0,Fell,1918.0
Sauguis,Valid,L6,4000.0,Fell,1868.0
Sazovice,Valid,L5,412.0,Fell,1934.0
Schnenberg,Valid,L6,8000.0,Fell,1846.0
Sediky,Valid,L6,240.0,Fell,1917.0
Sevrukovo,Valid,L5,101000.0,Fell,1874.0
Sfax,Valid,L6,7000.0,Fell,1989.0
Shelburne,Valid,L5,18600.0,Fell,1904.0
Sheyang,Valid,L6,605.0,Fell,1976.0
Shikarpur,Valid,L6,3679.7,Fell,1921.0
Shytal,Valid,L6,3200.0,Fell,1863.0
Sinai,Valid,L6,1455.0,Fell,1916.0
Sixiangkou,Valid,L5,630.0,Fell,1989.0
Ski,Valid,L6,850.0,Fell,1848.0
Slobodka,Valid,L4,2750.0,Fell,1818.0
Sotmany,Valid,L6,1066.0,Fell,2011.0
Songyuan,Valid,L6,36900.0,Fell,1993.0
St. Caprais-de-Quinsac,Valid,L6,360.0,Fell,1883.0
St. Christophe-la-Chartreuse,Valid,L6,5500.0,Fell,1841.0
St. Denis Westrem,Valid,L6,700.0,Fell,1855.0
St. Michel,Valid,L6,17000.0,Fell,1910.0
St.-Chinian,Valid,L6,134.3,Fell,1959.0
Stavropol,Valid,L6,1500.0,Fell,1857.0
Stratford,Valid,L6,50.0,Fell,1974.0
Strathmore,Valid,L6,13400.0,Fell,1917.0
Success,Valid,L6,3500.0,Fell,1924.0
Suchy Dul,Valid,L6,815.3,Fell,1969.0
Suizhou,Valid,L6,260000.0,Fell,1986.0
Tadjera,Valid,L5,9000.0,Fell,1867.0
Tambakwatu,Valid,L6,10500.0,Fell,1975.0
Tan,Valid,L5,905.0,Fell,1918.0
Taonan,Valid,L5,3850.0,Fell,1965.0
Tathlith,Valid,L6,2500.0,Fell,1967.0
Tauk,Valid,L6,6000.0,Fell,1929.0
Tauti,Valid,L6,21000.0,Fell,1937.0
Tenham,Valid,L6,160000.0,Fell,1879.0
Tennasilm,Valid,L4,28500.0,Fell,1872.0
Thika,Valid,L6,14200.0,Fell,2011.0
Tilden,Valid,L6,74800.0,Fell,1927.0
Tillaberi,Valid,L6,3000.0,Fell,1970.0
Tjerebon,Valid,L5,16500.0,Fell,1922.0
Tourinnes-la-Grosse,Valid,L6,14500.0,Fell,1863.0
Troup,Valid,L6,1020.0,Fell,1917.0
Tuan Tuc,Valid,L6,13100.0,Fell,1921.0
